angular_z,linear_x,left_forward,right_forward,left_side,right_side,ans,time
-0.504051089,0.126149997,159,116,416,55,0,37.35
-0.424464077,0.125100002,166,152,346,42,0,37.4
-0.424464077,0.125100002,166,152,346,42,0,37.45
-0.304385424,0.128099993,146,141,268,50,0,37.5
-0.304385424,0.128099993,146,141,268,50,0,37.55
-0.275063902,0.126450002,157,156,240,43,0,37.6
-0.275063902,0.126450002,157,156,240,43,0,37.65
-0.22060962,0.123149998,179,148,203,45,0,37.7
-0.22060962,0.123149998,179,148,203,45,0,37.75
-0.178721711,0.123899996,173,174,179,51,0,37.8
-0.178721711,0.123899996,173,174,179,51,0,37.85
-0.161966547,0.114600003,236,182,163,47,0,37.9
-0.161966547,0.114600003,236,182,163,47,0,37.95
-0.209439516,0.113250002,245,223,201,51,0,38
-0.209439516,0.113250002,245,223,201,51,0,38.05
-0.213628307,0.105449997,297,227,197,44,0,38.1
-0.213628307,0.105449997,297,227,197,44,0,38.15
-0.192684352,0.101400003,324,252,201,63,0,38.2
-0.192684352,0.101400003,324,252,201,63,0,38.25
-0.230383456,0.094350003,371,288,234,69,0,38.3
-0.230383456,0.094350003,371,288,234,69,0,38.35
-0.347669601,0.08625,425,339,322,73,0,38.4
-0.347669601,0.08625,425,339,322,73,0,38.45
-0.467748225,0.081150003,459,352,412,77,0,38.5
-0.467748225,0.081150003,459,352,412,77,0,38.55
-0.716283143,0.073200002,512,367,586,73,0,38.6
-0.716283143,0.073200002,512,367,586,73,0,38.65
-0.962025464,0.072899997,514,357,790,101,0,38.7
-0.962025464,0.072899997,514,357,790,101,0,38.75
-1.249655724,0.071999997,520,294,1034,139,0,38.8
-1.249655724,0.071999997,520,294,1034,139,0,38.85
-1.618269324,0.070799999,528,233,1298,139,0,38.9
-1.618269324,0.070799999,528,233,1298,139,0,38.95
-2.123716593,0.079949997,467,152,1631,110,0,39
-2.123716593,0.079949997,467,152,1631,110,0,39.05
-2.754827738,0.098999999,340,129,2073,100,0,39.1
-2.754827738,0.098999999,340,129,2073,100,0,39.15
-1.611287951,0.127649993,135,149,1230,76,0,39.2
-1.611287951,0.127649993,135,149,1230,76,0,39.25
-1.016479731,0.116099998,226,196,773,45,0,39.3
-1.016479731,0.116099998,226,196,773,45,0,39.35
-0.699527979,0.102600001,300,316,535,34,0,39.4
-0.699527979,0.102600001,300,316,535,34,0,39.45
-0.490088463,0.091049999,338,393,380,29,0,39.5
-0.490088463,0.091049999,338,393,380,29,0,39.55
-0.432841659,0.094350003,354,371,332,22,0,39.6
-0.432841659,0.094350003,354,371,332,22,0,39.65
-0.34906584,0.094949998,367,361,274,24,0,39.7
-0.34906584,0.094949998,367,361,274,24,0,39.75
-0.428652853,0.091049999,393,355,324,17,0,39.8
-0.428652853,0.091049999,393,355,324,17,0,39.85
-0.390953749,0.085349999,431,381,298,18,0,39.9
-0.390953749,0.085349999,431,381,298,18,0,39.95
-0.49288097,0.081749998,455,380,366,13,0,40
-0.49288097,0.081749998,455,380,366,13,0,40.05
-0.706509292,0.076200001,492,384,516,10,0,40.1
-0.706509292,0.076200001,492,384,516,10,0,40.15
-0.92432636,0.062550001,583,386,676,14,0,40.2
-0.92432636,0.062550001,583,386,676,14,0,40.25
-1.2733922,0.064800002,568,326,933,21,0,40.3
-1.2733922,0.064800002,568,326,933,21,0,40.35
-1.619665504,0.069750004,535,252,1180,20,0,40.4
-1.619665504,0.069750004,535,252,1180,20,0,40.45
-1.943598628,0.077699997,482,194,1403,11,0,40.5
-1.943598628,0.077699997,482,194,1403,11,0,40.55
-2.481160164,0.088799998,408,95,1791,14,0,40.6
-2.481160164,0.088799998,408,95,1791,14,0,40.65
-2.263342857,0.11445,237,34,1666,45,0,40.7
-2.263342857,0.11445,237,34,1666,45,0,40.75
-1.026253581,0.143849999,41,7,883,148,0,40.8
-1.026253581,0.143849999,41,7,883,148,0,40.85
-0.321140587,0.144150004,39,23,552,322,0,40.9
-0.321140587,0.144150004,39,23,552,322,0,40.95
-0.114493601,0.143250003,45,34,470,388,0,41
-0.114493601,0.143250003,45,34,470,388,0,41.05
-0.072605699,0.143099993,46,32,456,404,0,41.1
-0.072605699,0.143099993,46,32,456,404,0,41.15
-0.043284167,0.143250003,45,34,437,406,0,41.2
-0.043284167,0.143250003,45,34,437,406,0,41.25
-0.006981317,0.143849999,41,38,423,418,0,41.3
-0.006981317,0.143849999,41,38,423,418,0,41.35
0.01675516,0.141599998,56,40,421,433,0,41.4
0.01675516,0.141599998,56,40,421,433,0,41.45
-0.026529005,0.141749993,55,46,440,421,0,41.5
-0.026529005,0.141749993,55,46,440,421,0,41.55
0.009773844,0.141749993,55,47,404,411,0,41.6
0.009773844,0.141749993,55,47,404,411,0,41.65
-0.002792527,0.141000003,60,46,386,384,0,41.7
-0.002792527,0.141000003,60,46,386,384,0,41.75
-0.011170107,0.141900003,54,43,407,399,0,41.8
-0.011170107,0.141900003,54,43,407,399,0,41.85
-0.001396263,0.138600007,76,61,418,417,0,41.9
-0.001396263,0.138600007,76,61,418,417,0,41.95
-0.020943951,0.138750002,75,42,436,421,0,42
-0.020943951,0.138750002,75,42,436,421,0,42.05
-0.015358898,0.137700006,82,42,421,410,0,42.1
-0.015358898,0.137700006,82,42,421,410,0,42.15
-0.027925268,0.136350006,91,68,438,418,0,42.2
-0.027925268,0.136350006,91,68,438,418,0,42.25
-0.03351032,0.137250006,85,78,415,391,0,42.3
-0.03351032,0.137250006,85,78,415,391,0,42.35
-0.009773844,0.137250006,85,68,417,410,0,42.4
-0.009773844,0.137250006,85,68,417,410,0,42.45
-0.025132742,0.135900006,94,80,435,417,0,42.5
-0.025132742,0.135900006,94,80,435,417,0,42.55
